분류,경로,이름,Q1,Q2,상태,비고,PR,완료일
09-national,09-national/other/SP-NAT-OTHER-KTL_v1.1.md,SP-NAT-OTHER-KTL_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KHF_v1.1.md,SP-NAT-OTHER-KHF_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-BSSM_v1.1.md,SP-NAT-OTHER-BSSM_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KOREG_v1.1.md,SP-NAT-OTHER-KOREG_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KNF_v1.1.md,SP-NAT-OTHER-KNF_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KIPI_v1.1.md,SP-NAT-OTHER-KIPI_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KOFONS_v1.1.md,SP-NAT-OTHER-KOFONS_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-SAC_v1.1.md,SP-NAT-OTHER-SAC_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-OSONG_v1.1.md,SP-NAT-OTHER-OSONG_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KOIHA_v1.1.md,SP-NAT-OTHER-KOIHA_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KEEI_v1.1.md,SP-NAT-OTHER-KEEI_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-INNOPOLIS_v1.1.md,SP-NAT-OTHER-INNOPOLIS_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KERIS_v1.1.md,SP-NAT-OTHER-KERIS_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KSD_v1.1.md,SP-NAT-OTHER-KSD_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KINS_v1.1.md,SP-NAT-OTHER-KINS_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KEXIM_v1.1.md,SP-NAT-OTHER-KEXIM_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KFERI_v1.1.md,SP-NAT-OTHER-KFERI_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-TPF_v1.1.md,SP-NAT-OTHER-TPF_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KIRAMS_v1.1.md,SP-NAT-OTHER-KIRAMS_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-NIKOM_v1.1.md,SP-NAT-OTHER-NIKOM_v1.1,Y,N,미착수,,,
09-national,09-national/other/SP-NAT-OTHER-KIDA_v1.1.md,SP-NAT-OTHER-KIDA_v1.1,Y,N,미착수,,,
